raceId,current_lap,grid,position,total_laps,statusId,year,circuitRef,driverRef,constructorRef,lap_seconds,fastest_lap_time
900,52,2,,57,2,2014,albert_park,ricciardo,red_bull,93.149,93.066
900,53,2,,57,2,2014,albert_park,ricciardo,red_bull,93.468,93.066
900,54,2,,57,2,2014,albert_park,ricciardo,red_bull,93.425,93.066
900,55,2,,57,2,2014,albert_park,ricciardo,red_bull,93.367,93.066
900,56,2,,57,2,2014,albert_park,ricciardo,red_bull,93.475,93.066
900,57,2,,57,2,2014,albert_park,ricciardo,red_bull,94.21,93.066
900,1,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,105.402,92.917
900,2,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,97.435,92.917
900,3,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,97.917,92.917
900,4,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.796,92.917
900,5,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.766,92.917
900,6,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.857,92.917
900,7,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.446,92.917
900,8,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.752,92.917
900,9,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.74,92.917
900,10,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.555,92.917
900,11,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.194,92.917
900,12,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,136.538,92.917
900,13,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,135.46,92.917
900,14,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,140.764,92.917
900,15,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,134.334,92.917
900,16,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.433,92.917
900,17,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.139,92.917
900,18,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.035,92.917
900,19,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.654,92.917
900,20,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.867,92.917
900,21,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.374,92.917
900,22,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.131,92.917
900,23,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.551,92.917
900,24,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.439,92.917
900,25,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.368,92.917
900,26,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.86,92.917
900,27,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.614,92.917
900,28,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.231,92.917
900,29,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,96.264,92.917
900,30,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.727,92.917
900,31,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.505,92.917
900,32,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.626,92.917
900,33,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.2,92.917
900,34,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.904,92.917
900,35,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.728,92.917
900,36,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.995,92.917
900,37,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,112.635,92.917
900,38,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,99.13,92.917
900,39,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,92.917,92.917
900,40,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.898,92.917
900,41,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.144,92.917
900,42,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.742,92.917
900,43,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.718,92.917
900,44,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.112,92.917
900,45,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.356,92.917
900,46,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.404,92.917
900,47,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,95.249,92.917
900,48,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.866,92.917
900,49,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,92.997,92.917
900,50,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,92.987,92.917
900,51,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.152,92.917
900,52,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.307,92.917
900,53,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.237,92.917
900,54,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.771,92.917
900,55,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.441,92.917
900,56,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,93.125,92.917
900,57,4,2,57,1,2014,albert_park,kevin_magnussen,mclaren,94.698,92.917
900,1,7,6,57,1,2014,albert_park,hulkenberg,force_india,106.986,93.21
900,2,7,6,57,1,2014,albert_park,hulkenberg,force_india,98.359,93.21
900,3,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.856,93.21
900,4,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.878,93.21
900,5,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.352,93.21
900,6,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.063,93.21
900,7,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.618,93.21
900,8,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.306,93.21
900,9,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.651,93.21
900,10,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.728,93.21
900,11,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.877,93.21
900,12,7,6,57,1,2014,albert_park,hulkenberg,force_india,136.397,93.21
900,13,7,6,57,1,2014,albert_park,hulkenberg,force_india,130.616,93.21
900,14,7,6,57,1,2014,albert_park,hulkenberg,force_india,141.039,93.21
900,15,7,6,57,1,2014,albert_park,hulkenberg,force_india,133.697,93.21
900,16,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.462,93.21
900,17,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.943,93.21
900,18,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.345,93.21
900,19,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.388,93.21
900,20,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.903,93.21
900,21,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.688,93.21
900,22,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.161,93.21
900,23,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.209,93.21
900,24,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.457,93.21
900,25,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.755,93.21
900,26,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.759,93.21
900,27,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.947,93.21
900,28,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.54,93.21
900,29,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.901,93.21
900,30,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.971,93.21
900,31,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.993,93.21
900,32,7,6,57,1,2014,albert_park,hulkenberg,force_india,96.077,93.21
900,33,7,6,57,1,2014,albert_park,hulkenberg,force_india,115.326,93.21
900,34,7,6,57,1,2014,albert_park,hulkenberg,force_india,99.444,93.21
900,35,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.123,93.21
900,36,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.913,93.21
900,37,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.006,93.21
900,38,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.925,93.21
900,39,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.929,93.21
900,40,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.661,93.21
900,41,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.857,93.21
900,42,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.969,93.21
900,43,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.59,93.21
900,44,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.296,93.21
900,45,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.33,93.21
900,46,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.586,93.21
900,47,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.6,93.21
900,48,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.316,93.21
900,49,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.258,93.21
900,50,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.57,93.21
900,51,7,6,57,1,2014,albert_park,hulkenberg,force_india,93.732,93.21
900,52,7,6,57,1,2014,albert_park,hulkenberg,force_india,95.885,93.21
900,53,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.222,93.21
900,54,7,6,57,1,2014,albert_park,hulkenberg,force_india,94.83,93.21
900,55,7,6,57,1,2014,albert_park,hulkenberg,force_india,93.53,93.21
900,56,7,6,57,1,2014,albert_park,hulkenberg,force_india,93.21,93.21
900,57,7,6,57,1,2014,albert_park,hulkenberg,force_india,93.398,93.21
900,1,5,4,57,1,2014,albert_park,alonso,ferrari,108.266,92.616
900,2,5,4,57,1,2014,albert_park,alonso,ferrari,98.611,92.616
900,3,5,4,57,1,2014,albert_park,alonso,ferrari,97.81,92.616
900,4,5,4,57,1,2014,albert_park,alonso,ferrari,95.719,92.616
900,5,5,4,57,1,2014,albert_park,alonso,ferrari,96.205,92.616
900,6,5,4,57,1,2014,albert_park,alonso,ferrari,95.634,92.616
900,7,5,4,57,1,2014,albert_park,alonso,ferrari,96.292,92.616
900,8,5,4,57,1,2014,albert_park,alonso,ferrari,96.46,92.616
900,9,5,4,57,1,2014,albert_park,alonso,ferrari,96.405,92.616
900,10,5,4,57,1,2014,albert_park,alonso,ferrari,96.992,92.616
900,11,5,4,57,1,2014,albert_park,alonso,ferrari,97.667,92.616
900,12,5,4,57,1,2014,albert_park,alonso,ferrari,139.525,92.616
900,13,5,4,57,1,2014,albert_park,alonso,ferrari,128.277,92.616
900,14,5,4,57,1,2014,albert_park,alonso,ferrari,140.389,92.616
900,15,5,4,57,1,2014,albert_park,alonso,ferrari,132.487,92.616
900,16,5,4,57,1,2014,albert_park,alonso,ferrari,96.473,92.616
900,17,5,4,57,1,2014,albert_park,alonso,ferrari,95.451,92.616
900,18,5,4,57,1,2014,albert_park,alonso,ferrari,94.952,92.616
900,19,5,4,57,1,2014,albert_park,alonso,ferrari,95.453,92.616
900,20,5,4,57,1,2014,albert_park,alonso,ferrari,95.143,92.616
900,21,5,4,57,1,2014,albert_park,alonso,ferrari,94.612,92.616
900,22,5,4,57,1,2014,albert_park,alonso,ferrari,95.05,92.616
900,23,5,4,57,1,2014,albert_park,alonso,ferrari,95.3,92.616
900,24,5,4,57,1,2014,albert_park,alonso,ferrari,95.292,92.616
900,25,5,4,57,1,2014,albert_park,alonso,ferrari,96.059,92.616
900,26,5,4,57,1,2014,albert_park,alonso,ferrari,95.797,92.616
900,27,5,4,57,1,2014,albert_park,alonso,ferrari,95.783,92.616
900,28,5,4,57,1,2014,albert_park,alonso,ferrari,95.647,92.616
900,29,5,4,57,1,2014,albert_park,alonso,ferrari,96.275,92.616
900,30,5,4,57,1,2014,albert_park,alonso,ferrari,95.831,92.616
900,31,5,4,57,1,2014,albert_park,alonso,ferrari,95.374,92.616
900,32,5,4,57,1,2014,albert_park,alonso,ferrari,96.19,92.616
900,33,5,4,57,1,2014,albert_park,alonso,ferrari,95.949,92.616
900,34,5,4,57,1,2014,albert_park,alonso,ferrari,94.077,92.616
900,35,5,4,57,1,2014,albert_park,alonso,ferrari,112.828,92.616
900,36,5,4,57,1,2014,albert_park,alonso,ferrari,99.972,92.616
900,37,5,4,57,1,2014,albert_park,alonso,ferrari,94.374,92.616
900,38,5,4,57,1,2014,albert_park,alonso,ferrari,94.57,92.616
900,39,5,4,57,1,2014,albert_park,alonso,ferrari,93.994,92.616
900,40,5,4,57,1,2014,albert_park,alonso,ferrari,93.951,92.616
900,41,5,4,57,1,2014,albert_park,alonso,ferrari,94.092,92.616
900,42,5,4,57,1,2014,albert_park,alonso,ferrari,94.528,92.616
900,43,5,4,57,1,2014,albert_park,alonso,ferrari,94.353,92.616
900,44,5,4,57,1,2014,albert_park,alonso,ferrari,93.446,92.616
900,45,5,4,57,1,2014,albert_park,alonso,ferrari,94.019,92.616
900,46,5,4,57,1,2014,albert_park,alonso,ferrari,93.82,92.616
900,47,5,4,57,1,2014,albert_park,alonso,ferrari,93.812,92.616
900,48,5,4,57,1,2014,albert_park,alonso,ferrari,92.987,92.616
900,49,5,4,57,1,2014,albert_park,alonso,ferrari,93.52,92.616
900,50,5,4,57,1,2014,albert_park,alonso,ferrari,93.468,92.616
900,51,5,4,57,1,2014,albert_park,alonso,ferrari,93.844,92.616
900,52,5,4,57,1,2014,albert_park,alonso,ferrari,93.661,92.616
900,53,5,4,57,1,2014,albert_park,alonso,ferrari,93.078,92.616
900,54,5,4,57,1,2014,albert_park,alonso,ferrari,93.233,92.616
900,55,5,4,57,1,2014,albert_park,alonso,ferrari,93.347,92.616
900,56,5,4,57,1,2014,albert_park,alonso,ferrari,92.616,92.616
900,57,5,4,57,1,2014,albert_park,alonso,ferrari,95.034,92.616
900,1,6,8,57,1,2014,albert_park,vergne,toro_rosso,108.805,93.864
900,2,6,8,57,1,2014,albert_park,vergne,toro_rosso,98.579,93.864
900,3,6,8,57,1,2014,albert_park,vergne,toro_rosso,99.424,93.864
900,4,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.855,93.864
