grid,year,circuitRef,location,trackLength,trackTurns,driverRef,driverNationality,constructorRef,constructorNationality
7,2020,istanbul,Istanbul,5.338,14,ocon,French,renault,French
13,2016,spa,Spa,7.004,20,jolyon_palmer,British,renault,French
5,2005,silverstone,Silverstone,5.891,18,barrichello,Brazilian,ferrari,Italian
17,2021,red_bull_ring,Spielberg,4.318,10,ocon,French,alpine,French
23,2011,monaco,Monte-Carlo,3.337,19,liuzzi,Italian,hrt,Spanish
12,2005,istanbul,Istanbul,5.338,14,coulthard,British,red_bull,Austrian
12,2005,sepang,Kuala Lumpur,5.543,15,barrichello,Brazilian,ferrari,Italian
20,2016,albert_park,Melbourne,5.278,16,gutierrez,Mexican,haas,American
2,2007,interlagos,São Paulo,4.309,15,hamilton,British,mclaren,British
14,2007,sepang,Kuala Lumpur,5.543,15,sato,Japanese,super_aguri,Japanese
12,2013,spa,Spa,7.004,20,sutil,German,force_india,Indian
11,2004,catalunya,Montmeló,4.657,14,matta,Brazilian,toyota,Japanese
6,2002,nurburgring,Nürburg,5.148,15,raikkonen,Finnish,mclaren,British
0,2023,rodriguez,Mexico City,4.304,17,stroll,Canadian,aston_martin,British
12,2003,albert_park,Melbourne,5.278,16,trulli,Italian,renault,French
9,2022,imola,Imola,4.909,19,alonso,Spanish,alpine,French
4,2004,villeneuve,Montreal,4.361,14,montoya,Colombian,williams,British
9,2022,jeddah,Jeddah,6.174,27,gasly,French,alphatauri,Italian
13,2023,monaco,Monte-Carlo,3.337,19,albon,Thai,williams,British
18,2011,albert_park,Melbourne,5.278,16,heidfeld,German,renault,French
20,2005,albert_park,Melbourne,5.278,16,sato,Japanese,bar,British
5,2002,albert_park,Melbourne,5.278,16,raikkonen,Finnish,mclaren,British
20,2018,yas_marina,Abu Dhabi,5.281,16,stroll,Canadian,williams,British
10,2004,spa,Spa,7.004,20,raikkonen,Finnish,mclaren,British
3,2008,monza,Monza,5.793,11,webber,Australian,red_bull,Austrian
1,2005,villeneuve,Montreal,4.361,14,button,British,bar,British
17,2021,ricard,Le Castellet,5.842,15,raikkonen,Finnish,alfa,Swiss
13,2014,sochi,Sochi,5.848,15,gutierrez,Mexican,sauber,Swiss
17,2023,catalunya,Montmeló,4.657,14,kevin_magnussen,Danish,haas,American
14,2004,shanghai,Shanghai,5.451,16,heidfeld,German,jordan,Irish
1,2023,interlagos,São Paulo,4.309,15,max_verstappen,Dutch,red_bull,Austrian
9,2023,interlagos,São Paulo,4.309,15,perez,Mexican,red_bull,Austrian
12,2024,bahrain,Sakhir,5.412,15,stroll,Canadian,aston_martin,British
20,2012,interlagos,São Paulo,4.309,15,kovalainen,Finnish,caterham,Malaysian
13,1996,hungaroring,Budapest,4.381,14,barrichello,Brazilian,jordan,Irish
22,2013,silverstone,Silverstone,5.891,18,garde,Dutch,caterham,Malaysian
11,2019,marina_bay,Marina Bay,4.94,19,gasly,French,toro_rosso,Italian
6,2012,hockenheimring,Hockenheim,4.574,16,button,British,mclaren,British
1,2016,red_bull_ring,Spielberg,4.318,10,hamilton,British,mercedes,German
0,2021,ricard,Le Castellet,5.842,15,tsunoda,Japanese,alphatauri,Italian
5,2009,interlagos,São Paulo,4.309,15,raikkonen,Finnish,ferrari,Italian
13,2022,ricard,Le Castellet,5.842,15,albon,Thai,williams,British
8,2021,red_bull_ring,Spielberg,4.318,10,alonso,Spanish,alpine,French
2,1996,suzuka,Suzuka,5.807,18,damon_hill,British,williams,British
13,2024,jeddah,Jeddah,6.174,27,kevin_magnussen,Danish,haas,American
17,2021,istanbul,Istanbul,5.338,14,raikkonen,Finnish,alfa,Swiss
13,1997,monza,Monza,5.793,11,magnussen,Danish,stewart,British
6,2006,istanbul,Istanbul,5.338,14,button,British,honda,Japanese
17,2001,hungaroring,Budapest,4.381,14,button,British,benetton,Italian
10,2023,losail,Al Daayen,5.419,16,norris,British,mclaren,British
11,2019,spa,Spa,7.004,20,norris,British,mclaren,British
7,2011,suzuka,Suzuka,5.807,18,kobayashi,Japanese,sauber,Swiss
13,1998,hungaroring,Budapest,4.381,14,salo,Finnish,arrows,British
3,2013,spa,Spa,7.004,20,webber,Australian,red_bull,Austrian
2,2023,spa,Spa,7.004,20,perez,Mexican,red_bull,Austrian
9,2020,catalunya,Montmeló,4.657,14,leclerc,Monegasque,ferrari,Italian
21,2001,hockenheimring,Hockenheim,4.574,16,alonso,Spanish,minardi,Italian
2,2014,silverstone,Silverstone,5.891,18,vettel,German,red_bull,Austrian
20,2000,imola,Imola,4.909,19,mazzacane,Argentine,minardi,Italian
20,2012,monza,Monza,5.793,11,pic,French,marussia,Russian
19,2013,nurburgring,Nürburg,5.148,15,jules_bianchi,French,marussia,Russian
13,2016,hungaroring,Budapest,4.381,14,perez,Mexican,force_india,Indian
16,2024,rodriguez,Mexico City,4.304,17,colapinto,Argentinian ,williams,British
18,2019,americas,Austin,5.513,20,russell,British,williams,British
16,1997,nurburgring,Nürburg,5.148,15,herbert,British,sauber,Swiss
12,2016,suzuka,Suzuka,5.807,18,massa,Brazilian,williams,British
19,2007,magny_cours,Magny Cours,4.411,16,davidson,British,super_aguri,Japanese
11,2001,monaco,Monte-Carlo,3.337,19,alesi,French,prost,French
6,2001,nurburgring,Nürburg,5.148,15,hakkinen,Finnish,mclaren,British
14,2011,monaco,Monte-Carlo,3.337,19,sutil,German,force_india,Indian
16,2002,hungaroring,Budapest,4.381,14,irvine,British,jaguar,British
14,2022,monaco,Monte-Carlo,3.337,19,ricciardo,Australian,mclaren,British
1,2017,monaco,Monte-Carlo,3.337,19,raikkonen,Finnish,ferrari,Italian
20,1997,spa,Spa,7.004,20,katayama,Japanese,minardi,Italian
6,2012,monaco,Monte-Carlo,3.337,19,michael_schumacher,German,mercedes,German
17,2024,americas,Austin,5.513,20,hamilton,British,mercedes,German
11,2010,yeongam,Yeongam County,5.615,18,hulkenberg,German,williams,British
5,2014,albert_park,Melbourne,5.278,16,alonso,Spanish,ferrari,Italian
11,2016,americas,Austin,5.513,20,perez,Mexican,force_india,Indian
12,2009,nurburgring,Nürburg,5.148,15,alonso,Spanish,renault,French
17,2015,silverstone,Silverstone,5.891,18,alonso,Spanish,mclaren,British
9,2017,bahrain,Sakhir,5.412,15,grosjean,French,haas,American
2,2005,sepang,Kuala Lumpur,5.543,15,trulli,Italian,toyota,Japanese
11,2019,rodriguez,Mexico City,4.304,17,perez,Mexican,racing_point,British
11,2018,villeneuve,Montreal,4.361,14,kevin_magnussen,Danish,haas,American
14,2019,monza,Monza,5.793,11,russell,British,williams,British
1,2010,marina_bay,Marina Bay,4.94,19,alonso,Spanish,ferrari,Italian
3,2015,hungaroring,Budapest,4.381,14,vettel,German,ferrari,Italian
11,2020,bahrain,Sakhir,5.412,15,ocon,French,renault,French
3,1997,monaco,Monte-Carlo,3.337,19,villeneuve,Canadian,williams,British
15,2004,silverstone,Silverstone,5.891,18,heidfeld,German,jordan,Irish
1,2023,baku,Baku,6.003,20,leclerc,Monegasque,ferrari,Italian
17,2022,silverstone,Silverstone,5.891,18,kevin_magnussen,Danish,haas,American
2,2001,hungaroring,Budapest,4.381,14,coulthard,British,mclaren,British
7,2022,suzuka,Suzuka,5.807,18,alonso,Spanish,alpine,French
19,2017,albert_park,Melbourne,5.278,16,jolyon_palmer,British,renault,French
13,2024,imola,Imola,4.909,19,stroll,Canadian,aston_martin,British
7,2024,red_bull_ring,Spielberg,4.318,10,piastri,Australian,mclaren,British
14,2017,yas_marina,Abu Dhabi,5.281,16,kevin_magnussen,Danish,haas,American
20,2005,nurburgring,Nürburg,5.148,15,albers,Dutch,minardi,Italian
14,2024,imola,Imola,4.909,19,albon,Thai,williams,British
2,2017,suzuka,Suzuka,5.807,18,vettel,German,ferrari,Italian
13,1998,spa,Spa,7.004,20,trulli,Italian,prost,French
14,2023,baku,Baku,6.003,20,sargeant,American,williams,British
13,2011,marina_bay,Marina Bay,4.94,19,maldonado,Venezuelan,williams,British
1,2023,bahrain,Sakhir,5.412,15,max_verstappen,Dutch,red_bull,Austrian
9,2019,monaco,Monte-Carlo,3.337,19,sainz,Spanish,mclaren,British
5,2008,marina_bay,Marina Bay,4.94,19,kovalainen,Finnish,mclaren,British
2,2012,albert_park,Melbourne,5.278,16,button,British,mclaren,British
4,2002,silverstone,Silverstone,5.891,18,ralf_schumacher,German,williams,British
22,2008,catalunya,Montmeló,4.657,14,sato,Japanese,super_aguri,Japanese
17,2022,interlagos,São Paulo,4.309,15,alonso,Spanish,alpine,French
1,2000,catalunya,Montmeló,4.657,14,michael_schumacher,German,ferrari,Italian
17,2010,interlagos,São Paulo,4.309,15,glock,German,virgin,British
19,2010,albert_park,Melbourne,5.278,16,kovalainen,Finnish,lotus_racing,Malaysian
21,2013,monaco,Monte-Carlo,3.337,19,massa,Brazilian,ferrari,Italian
6,2022,suzuka,Suzuka,5.807,18,hamilton,British,mercedes,German
15,1999,red_bull_ring,Spielberg,4.318,10,zonta,Brazilian,bar,British
15,2018,hockenheimring,Hockenheim,4.574,16,ocon,French,force_india,Indian
19,1999,magny_cours,Magny Cours,4.411,16,gene,Spanish,minardi,Italian
20,2017,suzuka,Suzuka,5.807,18,alonso,Spanish,mclaren,British
18,2012,americas,Austin,5.513,20,ricciardo,Australian,toro_rosso,Italian
1,1996,monza,Monza,5.793,11,damon_hill,British,williams,British
13,2015,silverstone,Silverstone,5.891,18,max_verstappen,Dutch,toro_rosso,Italian
12,2017,villeneuve,Montreal,4.361,14,alonso,Spanish,mclaren,British
9,2023,villeneuve,Montreal,4.361,14,albon,Thai,williams,British
16,2002,silverstone,Silverstone,5.891,18,frentzen,German,arrows,British
19,2008,catalunya,Montmeló,4.657,14,fisichella,Italian,force_india,Indian
6,1997,galvez,Buenos Aires,4.259,18,ralf_schumacher,German,jordan,Irish
10,2005,hockenheimring,Hockenheim,4.574,16,klien,Austrian,red_bull,Austrian
6,1999,red_bull_ring,Spielberg,4.318,10,herbert,British,stewart,British
14,2002,nurburgring,Nürburg,5.148,15,sato,Japanese,jordan,Irish
1,2012,hockenheimring,Hockenheim,4.574,16,alonso,Spanish,ferrari,Italian
14,2023,red_bull_ring,Spielberg,4.318,10,bottas,Finnish,alfa,Swiss
3,2017,red_bull_ring,Spielberg,4.318,10,raikkonen,Finnish,ferrari,Italian
6,2015,interlagos,São Paulo,4.309,15,kvyat,Russian,red_bull,Austrian
19,1997,galvez,Buenos Aires,4.259,18,salo,Finnish,tyrrell,British
18,2001,monaco,Monte-Carlo,3.337,19,alonso,Spanish,minardi,Italian
15,2012,suzuka,Suzuka,5.807,18,hulkenberg,German,force_india,Indian
15,2012,villeneuve,Montreal,4.361,14,perez,Mexican,sauber,Swiss
3,2022,silverstone,Silverstone,5.891,18,leclerc,Monegasque,ferrari,Italian
2,1998,monza,Monza,5.793,11,villeneuve,Canadian,williams,British
7,2004,shanghai,Shanghai,5.451,16,fisichella,Italian,sauber,Swiss
11,2010,albert_park,Melbourne,5.278,16,hamilton,British,mclaren,British
7,2005,silverstone,Silverstone,5.891,18,sato,Japanese,bar,British
20,1998,monza,Monza,5.793,11,diniz,Brazilian,arrows,British
8,2006,suzuka,Suzuka,5.807,18,barrichello,Brazilian,honda,Japanese
16,2024,vegas,Las Vegas,6.201,17,alonso,Spanish,aston_martin,British
1,2002,interlagos,São Paulo,4.309,15,montoya,Colombian,williams,British
6,2006,interlagos,São Paulo,4.309,15,fisichella,Italian,renault,French
4,2007,indianapolis,Indianapolis,4.192,13,raikkonen,Finnish,ferrari,Italian
12,2004,spa,Spa,7.004,20,button,British,bar,British
3,1999,red_bull_ring,Spielberg,4.318,10,irvine,British,ferrari,Italian
8,2013,yeongam,Yeongam County,5.615,18,gutierrez,Mexican,sauber,Swiss
3,2024,americas,Austin,5.513,20,sainz,Spanish,ferrari,Italian
7,2019,baku,Baku,6.003,20,norris,British,mclaren,British
13,2005,spa,Spa,7.004,20,fisichella,Italian,renault,French
20,2000,magny_cours,Magny Cours,4.411,16,verstappen,Dutch,arrows,British
19,2013,hungaroring,Budapest,4.381,14,pic,French,caterham,Malaysian
2,1996,hockenheimring,Hockenheim,4.574,16,berger,Austrian,benetton,Italian
15,1997,galvez,Buenos Aires,4.259,18,magnussen,Danish,stewart,British
9,1996,monza,Monza,5.793,11,brundle,British,jordan,Irish
7,2012,monza,Monza,5.793,11,raikkonen,Finnish,lotus_f1,British
1,1998,red_bull_ring,Spielberg,4.318,10,fisichella,Italian,benetton,Italian
10,2004,monaco,Monte-Carlo,3.337,19,fisichella,Italian,sauber,Swiss
16,2011,spa,Spa,7.004,20,kovalainen,Finnish,lotus_racing,Malaysian
20,2001,hungaroring,Budapest,4.381,14,bernoldi,Brazilian,arrows,British
11,2021,monza,Monza,5.793,11,vettel,German,aston_martin,British
18,2014,marina_bay,Marina Bay,4.94,19,maldonado,Venezuelan,lotus_f1,British
19,2003,nurburgring,Nürburg,5.148,15,wilson,British,minardi,Italian
17,2016,sepang,Kuala Lumpur,5.543,15,ericsson,Swedish,sauber,Swiss
11,2018,monaco,Monte-Carlo,3.337,19,hulkenberg,German,renault,French
5,2022,zandvoort,Zandvoort,4.259,14,perez,Mexican,red_bull,Austrian
9,2014,interlagos,São Paulo,4.309,15,ricciardo,Australian,red_bull,Austrian
22,2012,buddh,Uttar Pradesh,5.141,16,rosa,Spanish,hrt,Spanish
2,2000,indianapolis,Indianapolis,4.192,13,coulthard,British,mclaren,British
20,2006,bahrain,Sakhir,5.412,15,sato,Japanese,super_aguri,Japanese
11,1996,hockenheimring,Hockenheim,4.574,16,diniz,Brazilian,ligier,French
21,1997,red_bull_ring,Spielberg,4.318,10,salo,Finnish,tyrrell,British
6,2021,rodriguez,Mexico City,4.304,17,sainz,Spanish,ferrari,Italian
17,2005,villeneuve,Montreal,4.361,14,karthikeyan,Indian,jordan,Irish
13,2008,magny_cours,Magny Cours,4.411,16,hamilton,British,mclaren,British
8,2007,catalunya,Montmeló,4.657,14,kovalainen,Finnish,renault,French
11,2009,spa,Spa,7.004,20,sutil,German,force_india,Indian
11,2013,monza,Monza,5.793,11,raikkonen,Finnish,lotus_f1,British
2,2010,silverstone,Silverstone,5.891,18,webber,Australian,red_bull,Austrian
16,2022,villeneuve,Montreal,4.361,14,vettel,German,aston_martin,British
10,2008,fuji,Oyama,4.563,16,bourdais,French,toro_rosso,Italian
12,1996,galvez,Buenos Aires,4.259,18,panis,French,ligier,French
20,2017,monaco,Monte-Carlo,3.337,19,button,British,mclaren,British
8,2003,imola,Imola,4.909,19,alonso,Spanish,renault,French
3,1999,suzuka,Suzuka,5.807,18,coulthard,British,mclaren,British
13,2011,yas_marina,Abu Dhabi,5.281,16,buemi,Swiss,toro_rosso,Italian
1,2012,marina_bay,Marina Bay,4.94,19,hamilton,British,mclaren,British
2,2000,red_bull_ring,Spielberg,4.318,10,coulthard,British,mclaren,British
8,2010,marina_bay,Marina Bay,4.94,19,kubica,Polish,renault,French
9,2016,americas,Austin,5.513,20,massa,Brazilian,williams,British
12,2008,sepang,Kuala Lumpur,5.543,15,coulthard,British,red_bull,Austrian
22,2001,hockenheimring,Hockenheim,4.574,16,marques,Brazilian,minardi,Italian
16,2008,villeneuve,Montreal,4.361,14,sutil,German,force_india,Indian
3,2016,americas,Austin,5.513,20,ricciardo,Australian,red_bull,Austrian
24,2011,yeongam,Yeongam County,5.615,18,ricciardo,Australian,hrt,Spanish
2,2009,monza,Monza,5.793,11,sutil,German,force_india,Indian
14,2011,spa,Spa,7.004,20,barrichello,Brazilian,williams,British
4,2001,villeneuve,Montreal,4.361,14,trulli,Italian,jordan,Irish
5,1996,catalunya,Montmeló,4.657,14,berger,Austrian,benetton,Italian
3,2021,rodriguez,Mexico City,4.304,17,max_verstappen,Dutch,red_bull,Austrian
5,2002,hockenheimring,Hockenheim,4.574,16,raikkonen,Finnish,mclaren,British
13,2021,portimao,Portimão,4.653,15,alonso,Spanish,alpine,French
19,2007,shanghai,Shanghai,5.451,16,wurz,Austrian,williams,British
11,2012,hockenheimring,Hockenheim,4.574,16,ricciardo,Australian,toro_rosso,Italian
4,2016,hockenheimring,Hockenheim,4.574,16,max_verstappen,Dutch,red_bull,Austrian
8,2005,shanghai,Shanghai,5.451,16,barrichello,Brazilian,ferrari,Italian
11,2000,silverstone,Silverstone,5.891,18,trulli,Italian,jordan,Irish
14,2021,yas_marina,Abu Dhabi,5.281,16,giovinazzi,Italian,alfa,Swiss
12,2021,catalunya,Montmeló,4.657,14,gasly,French,alphatauri,Italian
15,2006,imola,Imola,4.909,19,heidfeld,German,bmw_sauber,German
0,2021,spa,Spa,7.004,20,raikkonen,Finnish,alfa,Swiss
8,2002,silverstone,Silverstone,5.891,18,salo,Finnish,toyota,Japanese
4,2001,catalunya,Montmeló,4.657,14,barrichello,Brazilian,ferrari,Italian
0,2022,marina_bay,Marina Bay,4.94,19,russell,British,mercedes,German
19,1999,imola,Imola,4.909,19,salo,Finnish,bar,British
2,2022,yas_marina,Abu Dhabi,5.281,16,perez,Mexican,red_bull,Austrian
16,2023,albert_park,Melbourne,5.278,16,piastri,Australian,mclaren,British
20,2012,valencia,Valencia,5.419,25,petrov,Russian,caterham,Malaysian
6,2023,marina_bay,Marina Bay,4.94,19,kevin_magnussen,Danish,haas,American
11,1999,imola,Imola,4.909,19,panis,French,prost,French
18,2002,villeneuve,Montreal,4.361,14,salo,Finnish,toyota,Japanese
7,2019,americas,Austin,5.513,20,sainz,Spanish,mclaren,British
18,2021,losail,Al Daayen,5.419,16,giovinazzi,Italian,alfa,Swiss
9,2015,silverstone,Silverstone,5.891,18,hulkenberg,German,force_india,Indian
16,2007,interlagos,São Paulo,4.309,15,button,British,honda,Japanese
12,2010,shanghai,Shanghai,5.451,16,alguersuari,Spanish,toro_rosso,Italian
19,1997,villeneuve,Montreal,4.361,14,nakano,Japanese,prost,French
1,1999,imola,Imola,4.909,19,hakkinen,Finnish,mclaren,British
1,2016,baku,Baku,6.003,20,rosberg,German,mercedes,German
5,2007,hungaroring,Budapest,4.381,14,ralf_schumacher,German,toyota,Japanese
19,2014,hockenheimring,Hockenheim,4.574,16,kobayashi,Japanese,caterham,Malaysian
1,2016,sepang,Kuala Lumpur,5.543,15,hamilton,British,mercedes,German
7,2024,albert_park,Melbourne,5.278,16,russell,British,mercedes,German
1,2021,portimao,Portimão,4.653,15,bottas,Finnish,mercedes,German
6,2015,red_bull_ring,Spielberg,4.318,10,bottas,Finnish,williams,British
15,2015,americas,Austin,5.513,20,nasr,Brazilian,sauber,Swiss
18,2003,nurburgring,Nürburg,5.148,15,verstappen,Dutch,minardi,Italian
11,1997,villeneuve,Montreal,4.361,14,wurz,Austrian,benetton,Italian
21,1997,monza,Monza,5.793,11,katayama,Japanese,minardi,Italian
5,2024,americas,Austin,5.513,20,piastri,Australian,mclaren,British
5,2016,baku,Baku,6.003,20,massa,Brazilian,williams,British
8,2000,hungaroring,Budapest,4.381,14,button,British,williams,British
2,2002,villeneuve,Montreal,4.361,14,michael_schumacher,German,ferrari,Italian
17,2017,catalunya,Montmeló,4.657,14,jolyon_palmer,British,renault,French
8,2021,hungaroring,Budapest,4.381,14,ocon,French,alpine,French
11,2001,catalunya,Montmeló,4.657,14,panis,French,bar,British
10,2023,interlagos,São Paulo,4.309,15,piastri,Australian,mclaren,British
17,2017,shanghai,Shanghai,5.451,16,ocon,French,force_india,Indian
20,2021,baku,Baku,6.003,20,giovinazzi,Italian,alfa,Swiss
1,2004,nurburgring,Nürburg,5.148,15,michael_schumacher,German,ferrari,Italian
6,2019,shanghai,Shanghai,5.451,16,gasly,French,red_bull,Austrian
14,2023,zandvoort,Zandvoort,4.259,14,hulkenberg,German,haas,American
19,2005,villeneuve,Montreal,4.361,14,friesacher,Austrian,minardi,Italian
11,2024,hungaroring,Budapest,4.381,14,hulkenberg,German,haas,American
2,2008,sepang,Kuala Lumpur,5.543,15,raikkonen,Finnish,ferrari,Italian
1,2006,indianapolis,Indianapolis,4.192,13,michael_schumacher,German,ferrari,Italian
14,2008,istanbul,Istanbul,5.338,14,vettel,German,toro_rosso,Italian
16,2018,hungaroring,Budapest,4.381,14,vandoorne,Belgian,mclaren,British
15,2017,hungaroring,Budapest,4.381,14,kevin_magnussen,Danish,haas,American
7,2014,monaco,Monte-Carlo,3.337,19,vergne,French,toro_rosso,Italian
10,2015,suzuka,Suzuka,5.807,18,sainz,Spanish,toro_rosso,Italian
19,2016,yas_marina,Abu Dhabi,5.281,16,nasr,Brazilian,sauber,Swiss
16,2021,americas,Austin,5.513,20,mick_schumacher,German,haas,American
8,2007,interlagos,São Paulo,4.309,15,trulli,Italian,toyota,Japanese
17,1999,imola,Imola,4.909,19,wurz,Austrian,benetton,Italian
4,2001,hungaroring,Budapest,4.381,14,ralf_schumacher,German,williams,British
15,2013,villeneuve,Montreal,4.361,14,gutierrez,Mexican,sauber,Swiss
18,2022,spa,Spa,7.004,20,zhou,Chinese,alfa,Swiss
4,2010,monaco,Monte-Carlo,3.337,19,massa,Brazilian,ferrari,Italian
5,2007,monaco,Monte-Carlo,3.337,19,rosberg,German,williams,British
19,2017,silverstone,Silverstone,5.891,18,ricciardo,Australian,red_bull,Austrian
4,2000,nurburgring,Nürburg,5.148,15,barrichello,Brazilian,ferrari,Italian
17,2022,imola,Imola,4.909,19,gasly,French,alphatauri,Italian
5,2002,imola,Imola,4.909,19,raikkonen,Finnish,mclaren,British
15,2006,villeneuve,Montreal,4.361,14,liuzzi,Italian,toro_rosso,Italian
21,1998,nurburgring,Nürburg,5.148,15,tuero,Argentine,minardi,Italian
4,2003,albert_park,Melbourne,5.278,16,frentzen,German,sauber,Swiss
15,2003,suzuka,Suzuka,5.807,18,firman,Irish,jordan,Irish
3,2013,yeongam,Yeongam County,5.615,18,grosjean,French,lotus_f1,British
5,2014,monaco,Monte-Carlo,3.337,19,alonso,Spanish,ferrari,Italian
1,2019,silverstone,Silverstone,5.891,18,bottas,Finnish,mercedes,German
11,2011,hungaroring,Budapest,4.381,14,resta,British,force_india,Indian
20,2005,indianapolis,Indianapolis,4.192,13,friesacher,Austrian,minardi,Italian
11,2008,hockenheimring,Hockenheim,4.574,16,glock,German,toyota,Japanese
19,2024,shanghai,Shanghai,5.451,16,tsunoda,Japanese,rb,Italian
6,2023,albert_park,Melbourne,5.278,16,stroll,Canadian,aston_martin,British
10,2003,magny_cours,Magny Cours,4.411,16,panis,French,toyota,Japanese
8,2020,nurburgring,Nürburg,5.148,15,norris,British,mclaren,British
12,2016,monza,Monza,5.793,11,alonso,Spanish,mclaren,British
5,2024,jeddah,Jeddah,6.174,27,piastri,Australian,mclaren,British
15,2006,magny_cours,Magny Cours,4.411,16,albers,Dutch,mf1,Russian
16,2010,shanghai,Shanghai,5.451,16,hulkenberg,German,williams,British
5,2001,monza,Monza,5.793,11,trulli,Italian,jordan,Irish
4,2024,suzuka,Suzuka,5.807,18,sainz,Spanish,ferrari,Italian
14,2017,suzuka,Suzuka,5.807,18,gasly,French,toro_rosso,Italian
18,2007,sepang,Kuala Lumpur,5.543,15,davidson,British,super_aguri,Japanese
3,2017,silverstone,Silverstone,5.891,18,vettel,German,ferrari,Italian
3,2022,rodriguez,Mexico City,4.304,17,hamilton,British,mercedes,German
8,1999,hungaroring,Budapest,4.381,14,barrichello,Brazilian,stewart,British
3,2014,silverstone,Silverstone,5.891,18,button,British,mclaren,British
5,2012,albert_park,Melbourne,5.278,16,webber,Australian,red_bull,Austrian
10,2006,shanghai,Shanghai,5.451,16,doornbos,Dutch,red_bull,Austrian
12,2007,sepang,Kuala Lumpur,5.543,15,fisichella,Italian,renault,French
4,2010,albert_park,Melbourne,5.278,16,button,British,mclaren,British
19,2017,yas_marina,Abu Dhabi,5.281,16,ericsson,Swedish,sauber,Swiss
18,1997,monaco,Monte-Carlo,3.337,19,trulli,Italian,minardi,Italian
4,2021,rodriguez,Mexico City,4.304,17,perez,Mexican,red_bull,Austrian
2,2018,spa,Spa,7.004,20,vettel,German,ferrari,Italian
4,2005,imola,Imola,4.909,19,webber,Australian,williams,British
17,1998,magny_cours,Magny Cours,4.411,16,diniz,Brazilian,arrows,British
21,2012,shanghai,Shanghai,5.451,16,pic,French,marussia,Russian
6,2000,hockenheimring,Hockenheim,4.574,16,trulli,Italian,jordan,Irish
20,2004,sepang,Kuala Lumpur,5.543,15,sato,Japanese,bar,British
2,2011,marina_bay,Marina Bay,4.94,19,webber,Australian,red_bull,Austrian
2,2004,bahrain,Sakhir,5.412,15,barrichello,Brazilian,ferrari,Italian
14,2015,monza,Monza,5.793,11,merhi,Spanish,manor,British
3,2001,hockenheimring,Hockenheim,4.574,16,hakkinen,Finnish,mclaren,British
9,2022,baku,Baku,6.003,20,vettel,German,aston_martin,British
6,2014,monaco,Monte-Carlo,3.337,19,raikkonen,Finnish,ferrari,Italian
9,2005,suzuka,Suzuka,5.807,18,barrichello,Brazilian,ferrari,Italian
8,2005,istanbul,Istanbul,5.338,14,massa,Brazilian,sauber,Swiss
14,2009,valencia,Valencia,5.419,25,grosjean,French,renault,French
17,2015,yas_marina,Abu Dhabi,5.281,16,ericsson,Swedish,sauber,Swiss
22,2000,albert_park,Melbourne,5.278,16,mazzacane,Argentine,minardi,Italian
12,2009,yas_marina,Abu Dhabi,5.281,16,kobayashi,Japanese,toyota,Japanese
19,2023,monza,Monza,5.793,11,kevin_magnussen,Danish,haas,American
10,2006,albert_park,Melbourne,5.278,16,michael_schumacher,German,ferrari,Italian
11,2023,yas_marina,Abu Dhabi,5.281,16,hamilton,British,mercedes,German
17,2006,shanghai,Shanghai,5.451,16,trulli,Italian,toyota,Japanese
19,2008,albert_park,Melbourne,5.278,16,sato,Japanese,super_aguri,Japanese
20,1997,hungaroring,Budapest,4.381,14,katayama,Japanese,minardi,Italian
10,2005,silverstone,Silverstone,5.891,18,villeneuve,Canadian,sauber,Swiss
3,2014,hungaroring,Budapest,4.381,14,bottas,Finnish,williams,British
14,2007,villeneuve,Montreal,4.361,14,coulthard,British,red_bull,Austrian
4,2009,monza,Monza,5.793,11,kovalainen,Finnish,mclaren,British
20,2019,hungaroring,Budapest,4.381,14,ricciardo,Australian,renault,French
20,2015,catalunya,Montmeló,4.657,14,merhi,Spanish,manor,British
4,2015,sepang,Kuala Lumpur,5.543,15,ricciardo,Australian,red_bull,Austrian
1,2021,bahrain,Sakhir,5.412,15,max_verstappen,Dutch,red_bull,Austrian
15,2023,monza,Monza,5.793,11,sargeant,American,williams,British
10,2023,silverstone,Silverstone,5.891,18,gasly,French,alpine,French
1,2011,monaco,Monte-Carlo,3.337,19,vettel,German,red_bull,Austrian
7,2021,catalunya,Montmeló,4.657,14,ricciardo,Australian,mclaren,British
10,1999,imola,Imola,4.909,19,zanardi,Italian,williams,British
18,2002,silverstone,Silverstone,5.891,18,bernoldi,Brazilian,arrows,British
16,2003,suzuka,Suzuka,5.807,18,fisichella,Italian,jordan,Irish
9,2000,red_bull_ring,Spielberg,4.318,10,salo,Finnish,sauber,Swiss
1,2013,yeongam,Yeongam County,5.615,18,vettel,German,red_bull,Austrian
19,1997,albert_park,Melbourne,5.278,16,magnussen,Danish,stewart,British
14,2013,villeneuve,Montreal,4.361,14,button,British,mclaren,British
1,2007,nurburgring,Nürburg,5.148,15,raikkonen,Finnish,ferrari,Italian
20,2002,silverstone,Silverstone,5.891,18,webber,Australian,minardi,Italian
16,2006,magny_cours,Magny Cours,4.411,16,villeneuve,Canadian,bmw_sauber,German
1,2005,hockenheimring,Hockenheim,4.574,16,raikkonen,Finnish,mclaren,British
14,2012,catalunya,Montmeló,4.657,14,vergne,French,toro_rosso,Italian
12,2012,hungaroring,Budapest,4.381,14,resta,British,force_india,Indian
12,2010,catalunya,Montmeló,4.657,14,rosa,Spanish,sauber,Swiss
